size,rac time,fingertree time
10000,24217,27960
20000,60445,52260
30000,96253,86403
40000,134892,121793
50000,182253,150005
60000,229831,193072
70000,266085,216319
80000,313763,263110
90000,389872,305500
100000,418393,343397
110000,540455,375829
120000,511290,410557
130000,587863,412550
140000,722647,514638
150000,680844,582379
160000,791042,645096
170000,831453,712867
180000,958497,707812
190000,1093844,748261
200000,1133571,800722
210000,1172517,909571
220000,1219052,975449
230000,1256234,1048544
240000,1391510,980789
250000,1481905,1145986
260000,1527784,1234956
270000,1544345,1123801
280000,1669999,1201372
290000,1768101,1301612
300000,1793103,1431638
310000,1887943,1426642
320000,2014359,1562549
330000,2221080,1564247
340000,2230298,1709187
350000,2242002,1716351
360000,2299240,1734104
370000,2273701,1631494
380000,2372712,1627420
390000,2567588,1830350
400000,2495832,1879325
410000,2560169,2009395
420000,2752476,2082805
430000,2863323,2173735
440000,3064443,2030492
450000,3176196,2104643
460000,3519092,2223646
470000,3492104,2301868
480000,3692267,2683959
490000,3647521,2734096
500000,3888098,2760689
510000,3781940,2843212
520000,4057382,2698902
530000,3726330,2868525
540000,3977919,2467653
550000,3822919,2790130
560000,3948760,2920115
570000,4104199,2932771
580000,4032095,3067771
590000,4279215,3013211
600000,4473314,3285799
610000,4702324,3412437
620000,5134477,3708176
630000,5068207,3901478
640000,4771689,3377561
650000,4947976,3548270
660000,5245310,3938479
670000,5196437,3539726
680000,4942181,4086387
690000,5038643,3762528
700000,5238333,3575129
710000,5370998,3972146
720000,5632755,3987095
730000,6030401,4101338
740000,5985601,4523724
750000,5811453,4339474
760000,5541246,4540675
770000,6327701,3836181
780000,6081260,4473719
790000,5941171,4582743
800000,6157138,4418956
810000,6380886,4606568
820000,6398646,4543232
830000,6954286,4528300
840000,6779184,5038018
850000,6692917,4984449
860000,6987043,5023084
870000,7467060,5123357
880000,7363902,5004697
890000,7125772,5164286
900000,7356158,5025701
910000,7411874,5098939
920000,8068792,5353497
930000,7596833,5235556
940000,7930638,5495503
950000,7907427,5738070
960000,8376746,5274758
970000,8137416,5580146
980000,8774970,6153159
990000,8045698,5923254
1000000,7957887,5327568
