size,raz time,fingertree time
1000000,6359108,3970094
2000000,6925739,4220169
3000000,8877498,4487700
4000000,10068062,4546301
5000000,8775108,4800517
6000000,9813165,4174701
7000000,11094371,5556042
8000000,11462922,5167333
9000000,12123604,5371895
10000000,10879353,5326697
11000000,11965538,6394824
12000000,12366730,6095883
13000000,11750134,3638751
14000000,11988865,6180850
15000000,12657813,6561232
16000000,12075383,3516968
17000000,13401419,6864749
18000000,12153079,3464248
19000000,14465917,7596921
20000000,13102331,3331194
21000000,14818757,3921816
22000000,9597412,9318414
23000000,16332797,8096885
24000000,14312133,3578374
25000000,14790339,3552665
26000000,15062530,3579677
27000000,15438076,3596920
28000000,15640886,3549949
29000000,15997116,3568605
30000000,17279139,3903783
31000000,9718835,3295384
32000000,9751564,10772282
33000000,20856315,3293241
34000000,16613744,3569428
35000000,17728831,3229400
36000000,10700815,3475826
37000000,9816748,12620064
38000000,22379139,3545118
39000000,10427994,3602403
40000000,10181411,12285036
41000000,20455049,3715123
42000000,10283920,3267611
43000000,10846206,15559284
44000000,23005112,3432568
45000000,11712349,3273649
46000000,18674745,3809535
47000000,10526563,3283345
48000000,9951419,15892790
49000000,27870618,3847353
50000000,14444067,4579793
51000000,26947314,4795433
52000000,15062265,4734599
53000000,27450065,4886418
54000000,11502193,4010272
55000000,21615783,3929491
56000000,11086488,3316252
57000000,24377122,3766142
58000000,10555436,3257803
59000000,24845769,3912475
60000000,11473699,3426362
61000000,23886392,3824434
62000000,10768526,3315864
63000000,12091526,3441221
64000000,10632757,24082098
65000000,12512683,4258115
66000000,34258079,4759513
67000000,12241717,4195675
68000000,26915298,3617780
69000000,11701315,3631020
70000000,12291462,3755856
71000000,11184291,24493638
72000000,11254678,3595099
73000000,41296914,3435489
74000000,11818478,3520081
75000000,12435283,3800806
76000000,30300842,3561619
77000000,11416137,3411218
78000000,13004154,4425523
79000000,10946511,29782192
80000000,12877893,3926160
81000000,15037353,3831931
82000000,10702943,25976543
83000000,11077600,3450390
84000000,12174448,3550601
85000000,10661527,24617795
86000000,11651495,3464614
87000000,11604968,3435412
88000000,12129029,24821584
89000000,12156813,3656248
90000000,12778040,4356459
91000000,11839161,28466505
92000000,13540734,3594130
93000000,13118963,4593368
94000000,55659411,5023692
95000000,11217734,3288384
96000000,12286133,3879973
97000000,36045646,3647349
98000000,11334955,3361610
99000000,11405142,3274693
100000000,12467875,3298827
