exp num,size,height,expected height,variance height,avg leaf depth,variance leaf depth
1,64,12,6,6,7.75384615384615,5.68846153846154
2,64,12,6,6,7.734375,5.78546626984127
3,128,13,7,6,9.34883720930233,5.33829941860465
4,128,13,7,6,9.3359375,5.37444635826772
5,256,16,8,8,9.87937743190662,6.07523711089495
6,256,16,8,8,9.85546875,6.03000919117647
7,512,21,9,12,12.5087719298246,10.4183799342105
8,512,21,9,12,12.5,10.4031311154599
9,1024,24,10,14,13.5873170731707,13.6625342987805
10,1024,24,10,14,13.5859375,13.6758919843597
11,4096,29,12,17,15.8525750549182,14.5143933918874
12,4096,29,12,17,15.85205078125,14.5172998225733
13,8192,29,12.999999,16,17.0411326742341,15.4019944200171
14,8192,29,12.999999,16,17.0408935546875,15.403650428419
15,9000,29,13.135709,15.864291,16.9927785801578,14.4871700675234
16,9000,29,13.135709,15.864291,16.9923333333333,14.4872175797313
17,9500,29,13.213712,15.786288,16.9861067256078,14.1355964302928
18,9500,29,13.213712,15.786288,16.9849473684211,14.1245233681106
19,10000,29,13.287712,15.712288,17.003799620038,13.8281855614437
20,10000,29,13.287712,15.712288,17.0027,13.8228749974991
21,12000,33,13.550747,19.449253,17.9501708190984,17.6246835124857
22,12000,33,13.550747,19.449253,17.9506666666667,17.6263684195907
23,20000,34,14.287712,19.712288,18.5192740362982,16.4446409929495
24,20000,34,14.287712,19.712288,18.5189,16.4433649582476
25,40000,35,15.287712,19.712288,20.1334216644584,15.431823214419
26,40000,35,15.287712,19.712288,20.133175,15.4298251650054
27,60000,35,15.872675,19.127325,19.9277012049799,14.4192727971175
28,60000,35,15.872675,19.127325,19.9276833333333,14.4203606390657
29,100000,37,16.60964,20.39036,21.0380096199038,14.8168052543486
30,100000,37,16.60964,20.39036,21.03796,14.8167272056706
31,200000,42,17.60964,24.39036,22.8204208978955,18.9253211848471
32,200000,42,17.60964,24.39036,22.82043,18.9254292422425
33,500000,44,18.931568,25.068432,24.8563522872954,19.9026612933803
34,500000,44,18.931568,25.068432,24.856346,19.902685333666
35,1000000,49,19.931568,29.068432,26.998066001934,23.2531642596509
36,1000000,49,19.931568,29.068432,26.998065,23.2531865089577
37,10000000,60,23.253496,36.746506,31.704819929518,28.4806760171577
38,10000000,60,23.253496,36.746506,31.7048201,28.4806787753907
